epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1682.35,1.61966,1.06965,1.40572,0.89415,0.69097,0.81413,0.38736,1.84823,0.98644,1.53003,0.00119926,0.00119926,0.00119926
43,1723.27,1.60842,1.03842,1.41303,0.87731,0.74053,0.82043,0.37985,1.9234,0.98326,1.58354,0.00119802,0.00119802,0.00119802
44,1760.69,1.58538,1.0495,1.39355,0.80553,0.72273,0.77526,0.3743,1.9639,1.00814,1.60744,0.00119679,0.00119679,0.00119679
45,1798.62,1.56448,1.03305,1.4031,0.77809,0.69259,0.7348,0.36257,1.97967,1.09301,1.64748,0.00119555,0.00119555,0.00119555
46,1839.04,1.53472,1.02276,1.37355,0.87165,0.75573,0.81065,0.38181,1.99699,0.98265,1.6251,0.00119431,0.00119431,0.00119431
47,1875.96,1.59783,1.02619,1.40039,0.79866,0.70706,0.77223,0.36891,1.98445,1.00106,1.63601,0.00119308,0.00119308,0.00119308
48,1913.6,1.54944,1.00405,1.38051,0.88746,0.7448,0.81064,0.38999,1.98702,0.92704,1.64356,0.00119184,0.00119184,0.00119184
49,1951.55,1.54199,1.0021,1.38868,0.87155,0.71416,0.794,0.37945,1.93493,0.9827,1.61185,0.0011906,0.0011906,0.0011906
50,1988.23,1.5112,0.99926,1.35734,0.85585,0.72855,0.81758,0.40208,1.88646,0.93311,1.60688,0.00118936,0.00118936,0.00118936
51,2025.28,1.5466,0.97496,1.35664,0.869,0.74857,0.80771,0.38244,1.98577,1.00123,1.69157,0.00118812,0.00118812,0.00118812
52,2064.27,1.49498,0.94134,1.3415,0.83917,0.70706,0.78682,0.39231,1.97201,1.00354,1.6764,0.00118689,0.00118689,0.00118689
53,2101.73,1.51475,0.96424,1.36414,0.82786,0.77901,0.82521,0.38958,1.98438,0.96511,1.64378,0.00118565,0.00118565,0.00118565
54,2140.89,1.4997,0.92725,1.35183,0.89636,0.7454,0.81025,0.41416,1.9578,0.92691,1.62468,0.00118441,0.00118441,0.00118441
